iter	accept?	e	prior	jcoup_e	shift_e	p_a	iter_times
150	+	-122.939239	-0.001299	-48.419951	-39.098702	1.000000	2.064063s
151	+	-122.992876	-0.001302	-48.408990	-39.096471	0.947776	2.060857s
152	+	-122.906288	-0.001299	-48.400180	-39.096358	1.000000	2.087884s
153	+	-123.061601	-0.001305	-48.389678	-39.095747	0.856146	2.084803s
154	+	-123.581790	-0.001324	-48.394850	-39.086619	0.594405	2.079971s
155	-	-124.371240	-0.001353	-48.397661	-39.088746	0.454091	2.197901s
156	+	-122.631418	-0.001289	-48.404852	-39.086552	1.000000	2.125465s
157	+	-123.068549	-0.001305	-48.409556	-39.085323	0.645883	2.275485s
158	-	-124.134853	-0.001343	-48.426337	-39.089535	0.344275	2.098326s
159	+	-124.491590	-0.001356	-48.423147	-39.086940	0.240977	2.115084s
160	+	-124.484961	-0.001355	-48.433776	-39.093108	1.000000	2.162978s
161	-	-126.946687	-0.001446	-48.421635	-39.084489	0.085285	2.369802s
162	+	-125.520633	-0.001393	-48.440717	-39.096850	0.354984	2.217164s
163	+	-124.718014	-0.001363	-48.450819	-39.097305	1.000000	2.157086s
164	-	-125.972882	-0.001409	-48.456406	-39.099694	0.285110	2.288705s
165	+	-125.590464	-0.001395	-48.456507	-39.093261	0.417922	2.187591s
166	+	-124.046799	-0.001337	-48.479084	-39.100237	1.000000	2.086188s
167	+	-124.096942	-0.001340	-48.458049	-39.102633	0.951093	2.069008s
168	+	-124.841575	-0.001368	-48.427830	-39.101051	0.474904	2.047170s
169	+	-124.736124	-0.001364	-48.434975	-39.100178	1.000000	2.065426s
170	+	-124.688130	-0.001362	-48.451083	-39.103748	1.000000	2.174742s
171	+	-124.239708	-0.001345	-48.469246	-39.108906	1.000000	2.200412s
172	+	-124.260882	-0.001347	-48.428775	-39.115683	0.979049	2.056423s
173	+	-124.314038	-0.001349	-48.419960	-39.119310	0.948231	2.060250s
174	-	-125.721362	-0.001401	-48.399450	-39.120983	0.244793	2.161110s
175	+	-125.071428	-0.001376	-48.446217	-39.118426	0.468884	2.105343s
176	+	-125.043089	-0.001375	-48.432703	-39.120803	1.000000	2.068183s
177	+	-124.759638	-0.001365	-48.427659	-39.123982	1.000000	2.071179s
178	+	-124.624985	-0.001359	-48.438240	-39.137321	1.000000	2.196
